product_category,product_type,material_cost,production_time_days,region,origin_state,demand_index,market_trend,season,actual_selling_price,material_type
Paintings & Art,Tanjore Painting,767.57,7,Madhubani,Bihar,0.703,0.207,Normal,2504.63,Gold Leaf
Natural / Eco-friendly Crafts,Palm-leaf Product,126.54,6,Khurja,Uttar Pradesh,0.551,0.0073,Normal,2111.92,Palm Leaf
Handmade Toys,Traditional Toy,127.36,2,Channapatna,Karnataka,0.516,0.0305,Summer,1891.26,Clay
Embroidery & Needlecraft,Table Runner,638.58,8,Pochampally,Telangana,0.832,0.0368,Normal,3377.67,Linen
Ceramics,Tableware,153.67,3,Saharanpur,Uttar Pradesh,0.795,0.2037,Normal,1937.92,Stoneware
Handmade Bags & Accessories,Pouch,423.08,1,Kondapalli,Andhra Pradesh,0.653,-0.0809,Normal,2110.1,Leather
"Bamboo, Cane & Natural Fibre",Tray,194.93,4,Kashmir,Jammu and Kashmir,0.67,0.1428,Wedding,2937.2,Bamboo
Metal Crafts,Jewellery,1629.88,5,Bastar,Chhattisgarh,0.682,0.0408,Normal,7468.99,Silver
Leather & Traditional Craft,Belt,920.87,7,Kutch,Gujarat,0.574,0.2183,Wedding,5397.66,Leather
Ceramics,Home Décor,302.7,2,Kolkata,West Bengal,0.721,-0.0939,Normal,1975.43,Porcelain
Natural / Eco-friendly Crafts,Palm-leaf Product,130.75,2,Khurja,Uttar Pradesh,0.777,0.1992,Normal,1787.76,Palm Leaf
Ceramics,Tableware,91.93,4,Thanjavur,Tamil Nadu,0.754,0.1128,Winter,1611.05,Ceramic
"Bamboo, Cane & Natural Fibre",Bottle/Container,216.03,5,Madhubani,Bihar,0.567,-0.0773,Normal,2186.23,Cane
Woodcraft,Wooden Jewellery,580.51,8,Khurja,Uttar Pradesh,0.683,0.2285,Normal,4241.11,Wood
Leather & Traditional Craft,Belt,897.95,4,Saharanpur,Uttar Pradesh,0.499,0.0109,Wedding,2907.96,Leather
Handloom & Textiles,Bedsheet,440.29,6,Kashmir,Jammu and Kashmir,0.468,-0.0768,Winter,3864.0,Cotton
Pottery & Terracotta,Kitchenware,30.0,2,Moradabad,Uttar Pradesh,0.608,0.0072,Normal,980.39,Terracotta
Handmade Home Décor,Showpiece,349.4,3,Kolkata,West Bengal,0.609,0.0503,Summer,2627.03,Metal
Handmade Home Décor,Dreamcatcher,259.24,5,Kashmir,Jammu and Kashmir,0.451,0.0566,Normal,1563.07,Bamboo
Paintings & Art,Madhubani Painting,186.98,7,Bhubaneswar,Odisha,0.653,0.1611,Normal,2654.41,Watercolour
Handmade Home Décor,Showpiece,259.28,1,Jaipur,Rajasthan,0.786,0.0648,Normal,1230.96,Wood
Ceramics,Vase,176.59,4,Srikalahasti,Andhra Pradesh,0.436,0.1766,Wedding,1651.05,Stoneware
Pottery & Terracotta,Terracotta Jewellery,105.07,2,Bhubaneswar,Odisha,0.55,0.0822,Festival,1202.81,Terracotta
Pottery & Terracotta,Clay Pot,157.34,2,Assam,Assam,0.681,0.0174,Normal,1210.7,Clay
Handloom & Textiles,Towel,349.66,15,Etikoppaka,Andhra Pradesh,0.161,-0.0138,Normal,3319.2,Cotton
Woodcraft,Wooden Toy,495.2,11,Kolkata,West Bengal,0.666,0.0974,Festival,5311.86,Wood
Handmade Jewellery,Metal Jewellery,1426.13,4,Madhubani,Bihar,0.236,0.1401,Normal,4102.11,Silver
Metal Crafts,Brassware,1584.34,5,Etikoppaka,Andhra Pradesh,0.689,-0.0472,Normal,4535.05,Brass
Woodcraft,Wooden Jewellery,452.62,8,Etikoppaka,Andhra Pradesh,0.531,0.0736,Normal,3195.86,Wood
Woodcraft,Wooden Toy,461.44,10,Etikoppaka,Andhra Pradesh,0.623,0.0942,Winter,2700.32,Wood
Paintings & Art,Sketch,30.0,8,Pochampally,Telangana,0.896,0.0908,Normal,2132.49,Charcoal
Natural / Eco-friendly Crafts,Handmade Paper Product,246.29,1,Kondapalli,Andhra Pradesh,0.581,0.0221,Normal,2216.15,Handmade Paper
"Bamboo, Cane & Natural Fibre",Furniture,30.0,5,Raghurajpur,Odisha,0.648,0.1316,Summer,1582.89,Cane
Handmade Bags & Accessories,Handmade Belt,550.24,4,Srikalahasti,Andhra Pradesh,0.671,0.1011,Wedding,2694.13,Leather
Handloom & Textiles,Dress Material,919.12,8,Kashmir,Jammu and Kashmir,0.732,0.0293,Summer,3440.25,Silk
"Bamboo, Cane & Natural Fibre",Household Product,256.26,1,Etikoppaka,Andhra Pradesh,0.801,0.0518,Monsoon,1899.64,Bamboo
Metal Crafts,Metal Sculpture,2020.61,4,Kutch,Gujarat,0.858,0.1044,Normal,6921.65,Bell Metal
Handloom & Textiles,Shawl,223.14,12,Thanjavur,Tamil Nadu,0.511,0.0052,Festival,3154.28,Cotton
Pottery & Terracotta,Decorative Pot,85.23,3,Etikoppaka,Andhra Pradesh,0.806,0.0802,Normal,1399.96,Terracotta
Metal Crafts,Jewellery,1791.14,9,Channapatna,Karnataka,0.52,0.1606,Monsoon,8132.39,Silver
Pottery & Terracotta,Clay Lamp,152.5,1,Madhubani,Bihar,0.706,-0.1551,Winter,1358.49,Terracotta
Handmade Home Décor,Wall Hanging,469.59,3,Assam,Assam,0.251,0.0843,Wedding,2772.62,Bamboo
Leather & Traditional Craft,Wallet,649.84,4,Etikoppaka,Andhra Pradesh,0.736,0.1652,Monsoon,3299.8,Leather
Handloom & Textiles,Scarf,743.1,2,Moradabad,Uttar Pradesh,0.542,0.0314,Normal,2068.84,Wool
Embroidery & Needlecraft,Table Runner,261.54,3,Kolkata,West Bengal,0.558,0.024,Normal,1885.78,Cotton
Paintings & Art,Miniature Painting,373.05,6,Thanjavur,Tamil Nadu,0.681,-0.0137,Festival,2257.88,Natural Pigment
Natural / Eco-friendly Crafts,Jute Product,74.66,4,Srinagar,Jammu and Kashmir,0.246,0.0019,Festival,1036.78,Jute
Pottery & Terracotta,Terracotta Jewellery,30.0,3,Bastar,Chhattisgarh,0.459,-0.0001,Wedding,1300.64,Terracotta
Ceramics,Bowl,193.24,3,Etikoppaka,Andhra Pradesh,0.785,-0.0629,Normal,2218.84,Stoneware
Woodcraft,Wooden Jewellery,366.4,13,Kutch,Gujarat,0.697,0.0113,Wedding,4238.63,Wood
Handloom & Textiles,Saree,589.83,6,Bastar,Chhattisgarh,0.6,0.1,Summer,2512.79,Silk
"Bamboo, Cane & Natural Fibre",Tray,231.67,5,Jaipur,Rajasthan,0.832,-0.0818,Wedding,2695.26,Cane
Handmade Jewellery,Handmade Earrings,736.26,4,Raghurajpur,Odisha,0.671,0.0648,Monsoon,2232.45,Brass
Natural / Eco-friendly Crafts,Handmade Paper Product,116.58,2,Thanjavur,Tamil Nadu,0.373,0.0761,Summer,1063.71,Handmade Paper
Embroidery & Needlecraft,Quilt,539.19,12,Madhubani,Bihar,0.311,0.0446,Normal,1920.16,Wool
Leather & Traditional Craft,Wallet,819.88,2,Kutch,Gujarat,0.84,0.097,Normal,2939.96,Leather
Embroidery & Needlecraft,Table Runner,296.65,6,Thanjavur,Tamil Nadu,0.757,-0.053,Normal,1790.41,Cotton
Metal Crafts,Brassware,1115.33,6,Jaipur,Rajasthan,0.388,-0.0973,Normal,3113.93,Brass
"Bamboo, Cane & Natural Fibre",Tray,139.81,2,Kutch,Gujarat,0.754,0.0925,Monsoon,1353.17,Bamboo
Metal Crafts,Metal Sculpture,1006.91,6,Srikalahasti,Andhra Pradesh,0.575,0.136,Normal,3632.72,Brass
Pottery & Terracotta,Clay Pot,111.04,1,Srikalahasti,Andhra Pradesh,0.649,0.17,Normal,1847.98,Terracotta
Handmade Bags & Accessories,Tote Bag,247.44,2,Bhubaneswar,Odisha,0.636,0.1062,Festival,1400.56,Jute
Handmade Toys,Handmade Game,243.09,2,Kondapalli,Andhra Pradesh,0.81,-0.0055,Normal,1434.35,Wood
Embroidery & Needlecraft,Cushion Cover,738.28,4,Pochampally,Telangana,0.643,0.1152,Normal,3993.4,Linen
Woodcraft,Kitchenware,584.41,9,Kashmir,Jammu and Kashmir,0.698,0.0932,Normal,4122.74,Wood
Handmade Jewellery,Tribal Jewellery,1016.21,4,Pochampally,Telangana,0.539,-0.0717,Normal,2906.71,Silver
"Bamboo, Cane & Natural Fibre",Bag,326.02,1,Saharanpur,Uttar Pradesh,0.823,0.069,Winter,1829.77,Bamboo
Woodcraft,Tray,531.1,7,Srikalahasti,Andhra Pradesh,0.727,0.0846,Monsoon,3722.62,Wood
Embroidery & Needlecraft,Quilt,443.92,3,Raghurajpur,Odisha,0.638,0.1588,Normal,3118.05,Cotton
Paintings & Art,Miniature Painting,376.83,7,Srinagar,Jammu and Kashmir,0.653,0.1486,Festival,2403.33,Handmade Paper
Ceramics,Bowl,238.14,3,Narsapur,Andhra Pradesh,0.59,-0.0227,Wedding,2582.91,Ceramic
Metal Crafts,Copperware,1449.48,4,Channapatna,Karnataka,0.424,0.1756,Normal,3866.84,Copper
Metal Crafts,Metal Sculpture,1217.43,5,Thanjavur,Tamil Nadu,0.69,-0.0497,Summer,4168.94,Copper
Woodcraft,Wooden Jewellery,668.63,9,Kondapalli,Andhra Pradesh,0.691,0.1452,Normal,3919.43,Wood
Ceramics,Plate,207.01,2,Bhubaneswar,Odisha,0.707,0.0758,Normal,1859.09,Stoneware
Embroidery & Needlecraft,Wall Hanging,569.23,9,Kolkata,West Bengal,0.673,0.0961,Wedding,3799.27,Cotton
Handmade Bags & Accessories,Clutch,333.84,2,Khurja,Uttar Pradesh,0.452,-0.0069,Normal,2753.38,Lac
Embroidery & Needlecraft,Cushion Cover,251.57,6,Kashmir,Jammu and Kashmir,0.942,0.2081,Festival,2278.32,Linen
Handmade Bags & Accessories,Backpack,334.68,2,Kolkata,West Bengal,0.814,-0.0049,Normal,2427.66,Canvas
Leather & Traditional Craft,Leather Bag,843.85,3,Kolkata,West Bengal,0.764,0.1132,Normal,4905.62,Leather
Leather & Traditional Craft,Traditional Leather Craft,721.85,6,Raghurajpur,Odisha,0.624,0.2634,Normal,2995.61,Leather
Metal Crafts,Bell-metal Product,1499.51,8,Jaipur,Rajasthan,0.733,-0.0001,Normal,8841.7,Bell Metal
Pottery & Terracotta,Planter,106.02,3,Srikalahasti,Andhra Pradesh,0.508,-0.0164,Normal,1435.82,Terracotta
Pottery & Terracotta,Clay Lamp,62.49,2,Bhubaneswar,Odisha,0.542,0.1179,Normal,1156.41,Terracotta
Metal Crafts,Brassware,1145.47,6,Bastar,Chhattisgarh,0.777,0.0141,Normal,3240.76,Brass
Handmade Toys,Puppet,244.25,3,Channapatna,Karnataka,0.502,-0.0142,Festival,2488.98,Cotton
Paintings & Art,Madhubani Painting,350.7,6,Etikoppaka,Andhra Pradesh,0.679,0.1101,Normal,1907.77,Watercolour
Handloom & Textiles,Saree,809.24,7,Kolkata,West Bengal,0.684,-0.0818,Normal,4163.54,Silk
"Bamboo, Cane & Natural Fibre",Lampshade,76.14,3,Thanjavur,Tamil Nadu,0.499,0.1558,Normal,891.33,Cane
Ceramics,Tableware,313.97,3,Assam,Assam,0.615,0.1091,Festival,2202.16,Ceramic
Ceramics,Ceramic Jewellery,190.58,2,Kolkata,West Bengal,0.59,0.0705,Normal,1647.25,Ceramic
Natural / Eco-friendly Crafts,Jute Product,79.53,4,Etikoppaka,Andhra Pradesh,0.45,-0.0329,Summer,815.33,Jute
Handmade Jewellery,Beaded Jewellery,118.54,4,Assam,Assam,0.548,0.0206,Monsoon,2989.24,Seed Beads
Handmade Bags & Accessories,Basket,288.07,5,Madhubani,Bihar,0.322,0.1745,Festival,2869.81,Bamboo
Metal Crafts,Brassware,1213.37,5,Saharanpur,Uttar Pradesh,0.707,0.042,Summer,6611.15,Brass
Handmade Jewellery,Terracotta Jewellery,39.48,3,Assam,Assam,0.811,0.1191,Normal,3352.98,Terracotta
Handloom & Textiles,Scarf,377.07,13,Srinagar,Jammu and Kashmir,0.85,0.2227,Normal,3955.74,Wool
Embroidery & Needlecraft,Cushion Cover,479.76,2,Bhubaneswar,Odisha,0.601,0.0304,Wedding,3580.29,Linen
Woodcraft,Wooden Toy,466.24,4,Raghurajpur,Odisha,0.442,0.0307,Normal,3392.72,Wood
Ceramics,Mug,271.82,3,Saharanpur,Uttar Pradesh,0.541,0.0174,Normal,1483.89,Ceramic
Handmade Bags & Accessories,Basket,30.0,5,Jaipur,Rajasthan,0.778,-0.0515,Festival,2823.57,Jute
Handmade Jewellery,Bangles,502.15,1,Kutch,Gujarat,0.454,0.0768,Winter,1885.81,Lac
Handmade Bags & Accessories,Wallet,107.92,4,Narsapur,Andhra Pradesh,0.245,-0.0239,Wedding,2352.61,Jute
Handmade Home Décor,Decorative Box,179.44,6,Kondapalli,Andhra Pradesh,0.72,0.1054,Normal,1861.73,Bamboo
Handmade Toys,Cloth Doll,194.04,5,Etikoppaka,Andhra Pradesh,0.358,-0.0094,Normal,1217.66,Wool
Embroidery & Needlecraft,Patchwork Product,289.8,6,Srinagar,Jammu and Kashmir,0.745,0.1053,Normal,2859.47,Linen
Handmade Toys,Educational Toy,189.72,3,Thanjavur,Tamil Nadu,0.58,0.23,Normal,2061.07,Wood
Woodcraft,Wooden Jewellery,400.59,15,Bhubaneswar,Odisha,0.727,0.1317,Normal,5630.26,Wood
Handloom & Textiles,Dress Material,445.32,11,Moradabad,Uttar Pradesh,0.65,-0.0628,Monsoon,3211.01,Cotton
Handloom & Textiles,Towel,398.07,14,Narsapur,Andhra Pradesh,0.588,-0.0343,Normal,3019.54,Cotton
Embroidery & Needlecraft,Wall Hanging,400.59,8,Srikalahasti,Andhra Pradesh,0.638,-0.043,Normal,2169.79,Wool
Metal Crafts,Utensil,1136.25,7,Assam,Assam,0.655,0.005,Normal,5157.44,Bell Metal
Handmade Home Décor,Candle,802.34,7,Jaipur,Rajasthan,0.428,-0.0395,Normal,2373.49,Beeswax
Handmade Home Décor,Sculpture,269.49,4,Bhubaneswar,Odisha,0.483,0.209,Normal,1779.62,Wood
Handmade Toys,Puppet,205.1,3,Srinagar,Jammu and Kashmir,0.823,0.002,Winter,1657.04,Wood
Pottery & Terracotta,Clay Lamp,206.25,3,Kolkata,West Bengal,0.644,0.2431,Wedding,1671.53,Terracotta
Natural / Eco-friendly Crafts,Natural-fibre Basket,109.59,2,Kutch,Gujarat,0.704,0.0208,Normal,1168.4,Palm Leaf
Leather & Traditional Craft,Leather Bag,863.82,4,Kolkata,West Bengal,0.692,0.0467,Festival,3113.87,Leather
Woodcraft,Sculpture,167.09,9,Narsapur,Andhra Pradesh,0.698,0.2398,Normal,1621.86,Wood
Pottery & Terracotta,Terracotta Jewellery,65.88,3,Srikalahasti,Andhra Pradesh,0.766,0.0807,Winter,1865.66,Clay
Natural / Eco-friendly Crafts,Eco-friendly Packaging,159.58,4,Raghurajpur,Odisha,0.517,0.2431,Normal,1767.07,Jute
Metal Crafts,Utensil,1325.91,4,Channapatna,Karnataka,0.624,0.1144,Monsoon,5882.26,Brass
"Bamboo, Cane & Natural Fibre",Lampshade,114.2,2,Khurja,Uttar Pradesh,0.458,0.0483,Wedding,1337.42,Jute
Handmade Home Décor,Table Décor,191.97,5,Moradabad,Uttar Pradesh,0.667,-0.0421,Wedding,2864.69,Clay
Metal Crafts,Utensil,1632.46,8,Pochampally,Telangana,0.541,-0.0143,Winter,5106.25,Copper
Ceramics,Bowl,176.36,2,Bastar,Chhattisgarh,0.748,0.1283,Festival,2322.54,Stoneware
Leather & Traditional Craft,Traditional Leather Craft,803.9,8,Moradabad,Uttar Pradesh,0.597,0.0731,Monsoon,3276.17,Leather
Handmade Jewellery,Tribal Jewellery,366.62,3,Kutch,Gujarat,0.758,-0.0303,Festival,3168.01,Beads
Handmade Jewellery,Bracelet,740.37,2,Channapatna,Karnataka,0.511,0.0808,Normal,4026.57,Brass
Woodcraft,Tray,550.7,15,Kashmir,Jammu and Kashmir,0.519,-0.0485,Normal,2780.17,Wood
Embroidery & Needlecraft,Embroidered Bag,579.41,5,Jaipur,Rajasthan,0.491,-0.0011,Summer,4097.96,Silk
Pottery & Terracotta,Terracotta Jewellery,107.02,3,Kutch,Gujarat,0.292,0.0923,Summer,830.21,Clay
Leather & Traditional Craft,Traditional Leather Craft,954.47,3,Srikalahasti,Andhra Pradesh,0.417,0.158,Normal,4554.62,Leather
Natural / Eco-friendly Crafts,Handmade Paper Product,182.62,3,Kolkata,West Bengal,0.793,0.0196,Wedding,2699.65,Handmade Paper
Paintings & Art,Madhubani Painting,246.26,6,Madhubani,Bihar,0.759,0.0525,Normal,2532.91,Natural Pigment
Ceramics,Home Décor,363.02,3,Kashmir,Jammu and Kashmir,0.573,0.0722,Normal,1660.31,Porcelain
Handmade Jewellery,Wooden Jewellery,447.6,4,Raghurajpur,Odisha,0.495,0.0355,Normal,3488.58,Wood
Pottery & Terracotta,Clay Pot,30.0,4,Kutch,Gujarat,0.627,0.0431,Winter,1544.76,Terracotta
Handmade Home Décor,Candle,359.25,3,Assam,Assam,0.517,0.0316,Normal,2091.1,Soy Wax
Ceramics,Ceramic Jewellery,246.96,3,Raghurajpur,Odisha,0.574,-0.0337,Monsoon,1220.55,Porcelain
Natural / Eco-friendly Crafts,Coir Product,54.47,2,Jaipur,Rajasthan,0.843,0.0303,Summer,1965.38,Coir
Pottery & Terracotta,Terracotta Figurine,41.08,2,Bhubaneswar,Odisha,0.49,-0.0127,Festival,634.14,Terracotta
Embroidery & Needlecraft,Embroidered Bag,331.54,7,Etikoppaka,Andhra Pradesh,0.588,0.0732,Wedding,2787.26,Jute
Handloom & Textiles,Traditional Garment,431.9,10,Saharanpur,Uttar Pradesh,0.854,0.1914,Winter,4548.58,Wool
Leather & Traditional Craft,Belt,594.02,3,Khurja,Uttar Pradesh,0.32,-0.1205,Normal,3527.61,Leather
Ceramics,Decorative Piece,50.39,1,Thanjavur,Tamil Nadu,0.678,-0.0174,Festival,1637.38,Stoneware
Handmade Home Décor,Dreamcatcher,219.73,5,Kondapalli,Andhra Pradesh,0.747,-0.0372,Normal,3198.14,Cotton
Handmade Jewellery,Necklace,397.82,3,Raghurajpur,Odisha,0.465,-0.1398,Summer,2961.86,Lac
Handmade Jewellery,Lac Jewellery,291.86,2,Pochampally,Telangana,0.446,0.1488,Wedding,1797.17,Lac
Handmade Jewellery,Metal Jewellery,1210.52,4,Kolkata,West Bengal,0.44,-0.0268,Normal,3604.77,Silver
Metal Crafts,Metal Sculpture,1053.05,8,Etikoppaka,Andhra Pradesh,0.683,0.054,Normal,6220.3,Copper
Leather & Traditional Craft,Decorative Leather Product,1088.87,9,Srinagar,Jammu and Kashmir,0.657,0.0453,Wedding,5913.74,Leather
Woodcraft,Wooden Jewellery,371.1,7,Channapatna,Karnataka,0.576,-0.0522,Wedding,3320.62,Wood
Ceramics,Home Décor,56.18,3,Srinagar,Jammu and Kashmir,0.384,0.1014,Normal,1158.72,Ceramic
Woodcraft,Wall Décor,605.17,7,Channapatna,Karnataka,0.467,0.0371,Normal,2878.12,Wood
Handmade Bags & Accessories,Clutch,682.28,1,Srinagar,Jammu and Kashmir,0.608,0.0245,Wedding,3650.82,Leather
Leather & Traditional Craft,Decorative Leather Product,784.63,6,Narsapur,Andhra Pradesh,0.803,0.0249,Normal,4905.76,Leather
Woodcraft,Decorative Panel,229.81,5,Bhubaneswar,Odisha,0.435,-0.0428,Festival,4041.63,Wood
Pottery & Terracotta,Sculpture,127.21,3,Kondapalli,Andhra Pradesh,0.313,-0.0965,Normal,1070.91,Terracotta
Woodcraft,Tray,309.06,12,Channapatna,Karnataka,0.743,0.0116,Monsoon,2050.39,Wood
Paintings & Art,Kalamkari,383.85,9,Jaipur,Rajasthan,0.647,0.059,Monsoon,3442.95,Cotton
Leather & Traditional Craft,Decorative Leather Product,746.86,5,Khurja,Uttar Pradesh,0.605,0.2985,Normal,2907.9,Leather
Paintings & Art,Handmade Wall Art,277.1,7,Srikalahasti,Andhra Pradesh,0.856,0.1235,Normal,3361.64,Handmade Paper
Pottery & Terracotta,Terracotta Jewellery,66.57,2,Etikoppaka,Andhra Pradesh,0.515,0.3,Normal,1037.23,Clay
Handmade Bags & Accessories,Scarf,436.67,3,Kolkata,West Bengal,0.81,0.0169,Monsoon,1676.86,Linen
Embroidery & Needlecraft,Cushion Cover,558.99,8,Thanjavur,Tamil Nadu,0.672,-0.0854,Festival,1835.71,Silk
Paintings & Art,Folk Painting,97.73,8,Saharanpur,Uttar Pradesh,0.601,0.0812,Summer,1012.15,Acrylic
Leather & Traditional Craft,Footwear,431.72,5,Raghurajpur,Odisha,0.781,0.0018,Normal,4292.81,Leather
Pottery & Terracotta,Planter,81.94,2,Channapatna,Karnataka,0.509,-0.1964,Monsoon,922.51,Terracotta
Natural / Eco-friendly Crafts,Jute Product,155.24,3,Madhubani,Bihar,0.784,0.053,Normal,1795.82,Jute
Metal Crafts,Brassware,1564.66,9,Saharanpur,Uttar Pradesh,0.764,-0.1756,Normal,4746.94,Brass
"Bamboo, Cane & Natural Fibre",Household Product,219.41,4,Channapatna,Karnataka,0.426,0.1948,Monsoon,1450.76,Bamboo
Natural / Eco-friendly Crafts,Palm-leaf Product,69.25,2,Moradabad,Uttar Pradesh,0.814,-0.0182,Normal,1748.68,Palm Leaf
"Bamboo, Cane & Natural Fibre",Basket,293.77,4,Kashmir,Jammu and Kashmir,0.842,0.082,Festival,3391.49,Cane
Paintings & Art,Folk Painting,159.69,5,Khurja,Uttar Pradesh,0.799,0.0219,Winter,2687.06,Natural Pigment
Pottery & Terracotta,Terracotta Jewellery,78.89,3,Srinagar,Jammu and Kashmir,0.726,0.2046,Normal,1339.73,Clay
Handmade Jewellery,Wooden Jewellery,564.76,2,Raghurajpur,Odisha,0.302,0.0862,Normal,2153.31,Wood
Handmade Toys,Handmade Game,125.62,3,Kutch,Gujarat,0.371,0.1709,Monsoon,1659.92,Paper
Leather & Traditional Craft,Decorative Leather Product,853.52,2,Kutch,Gujarat,0.764,-0.0914,Normal,4431.26,Leather
Embroidery & Needlecraft,Quilt,303.19,7,Jaipur,Rajasthan,0.578,0.1588,Normal,2702.57,Cotton
Embroidery & Needlecraft,Embroidered Clothing,650.15,9,Madhubani,Bihar,0.709,0.0341,Normal,3535.1,Silk
Pottery & Terracotta,Diya,102.37,2,Bhubaneswar,Odisha,0.654,0.0928,Monsoon,1241.7,Clay
Paintings & Art,Tanjore Painting,183.74,6,Jaipur,Rajasthan,0.274,-0.0292,Normal,2198.28,Acrylic
Embroidery & Needlecraft,Quilt,346.58,4,Thanjavur,Tamil Nadu,0.648,0.0612,Wedding,3215.7,Cotton
Handmade Bags & Accessories,Handmade Belt,333.33,4,Pochampally,Telangana,0.779,0.0421,Normal,3753.59,Jute
Metal Crafts,Copperware,898.15,4,Srinagar,Jammu and Kashmir,0.635,0.0386,Wedding,6710.36,Copper
Handmade Bags & Accessories,Clutch,474.31,2,Saharanpur,Uttar Pradesh,0.593,-0.0139,Normal,2342.45,Leather
Natural / Eco-friendly Crafts,Banana-fibre Product,100.91,2,Bhubaneswar,Odisha,0.751,-0.0412,Wedding,1475.28,Banana Fibre
Woodcraft,Wall Décor,534.02,5,Kondapalli,Andhra Pradesh,0.743,-0.0117,Festival,5288.2,Wood
Pottery & Terracotta,Sculpture,110.74,5,Srikalahasti,Andhra Pradesh,0.482,0.0946,Festival,1048.65,Clay
Handmade Home Décor,Dreamcatcher,300.66,5,Assam,Assam,0.67,0.1877,Summer,1986.24,Bamboo
Metal Crafts,Copperware,1297.14,5,Srikalahasti,Andhra Pradesh,0.395,-0.0731,Normal,6711.04,Copper
Handmade Bags & Accessories,Tote Bag,298.78,2,Srikalahasti,Andhra Pradesh,0.609,0.0955,Summer,1587.78,Jute
Handmade Bags & Accessories,Pouch,361.99,3,Moradabad,Uttar Pradesh,0.383,0.0402,Festival,2974.98,Jute
Handmade Bags & Accessories,Handmade Belt,289.96,6,Channapatna,Karnataka,0.622,0.0019,Monsoon,3305.95,Leather
Pottery & Terracotta,Decorative Pot,87.18,3,Kutch,Gujarat,0.924,0.1252,Winter,2288.03,Clay
Embroidery & Needlecraft,Wall Hanging,284.81,10,Kondapalli,Andhra Pradesh,0.392,-0.1261,Normal,1830.23,Jute
Handmade Bags & Accessories,Scarf,500.32,4,Srikalahasti,Andhra Pradesh,0.43,0.1007,Normal,3088.73,Linen
Paintings & Art,Tanjore Painting,170.11,3,Kondapalli,Andhra Pradesh,0.558,-0.0303,Normal,1390.8,Natural Pigment
Pottery & Terracotta,Clay Lamp,104.55,2,Jaipur,Rajasthan,0.466,-0.1183,Normal,791.58,Terracotta
Handmade Home Décor,Handmade Clock,154.36,2,Kondapalli,Andhra Pradesh,0.636,-0.0114,Normal,1292.52,Bamboo
Handmade Bags & Accessories,Wallet,423.54,5,Bhubaneswar,Odisha,0.351,0.1208,Normal,1574.49,Cotton
Metal Crafts,Decorative Item,1153.56,8,Etikoppaka,Andhra Pradesh,0.731,0.0763,Winter,6720.49,Brass
Handmade Home Décor,Decorative Box,340.29,5,Etikoppaka,Andhra Pradesh,0.654,0.1954,Normal,2282.87,Cane
"Bamboo, Cane & Natural Fibre",Household Product,139.47,5,Thanjavur,Tamil Nadu,0.352,0.0007,Festival,1368.48,Cane
Pottery & Terracotta,Terracotta Jewellery,179.59,2,Bastar,Chhattisgarh,0.522,-0.029,Festival,1375.9,Clay
Handloom & Textiles,Stole,320.51,2,Kondapalli,Andhra Pradesh,0.418,0.1019,Normal,1715.03,Wool
Handmade Toys,Educational Toy,218.16,1,Narsapur,Andhra Pradesh,0.466,0.0733,Normal,1002.78,Cotton
Pottery & Terracotta,Terracotta Figurine,38.29,2,Kutch,Gujarat,0.624,-0.1246,Wedding,1583.01,Terracotta
Handmade Toys,Handmade Game,171.91,3,Jaipur,Rajasthan,0.771,0.0205,Monsoon,1841.04,Paper
Handmade Jewellery,Wooden Jewellery,645.53,5,Kolkata,West Bengal,0.648,0.2769,Summer,2607.24,Wood
Paintings & Art,Folk Painting,349.14,8,Narsapur,Andhra Pradesh,0.767,-0.0244,Normal,2028.37,Watercolour
Handmade Home Décor,Dreamcatcher,187.41,1,Kolkata,West Bengal,0.339,0.0591,Normal,1159.0,Jute
Handmade Toys,Puppet,333.45,2,Madhubani,Bihar,0.508,0.0128,Festival,1446.98,Leather
Handloom & Textiles,Fabric,415.88,4,Raghurajpur,Odisha,0.255,0.0179,Normal,2328.07,Jute
Handmade Home Décor,Handmade Clock,473.86,3,Kondapalli,Andhra Pradesh,0.759,-0.1022,Normal,3801.17,Wood
Pottery & Terracotta,Decorative Pot,30.0,2,Saharanpur,Uttar Pradesh,0.533,0.1229,Normal,1152.42,Terracotta
Natural / Eco-friendly Crafts,Palm-leaf Product,103.23,3,Narsapur,Andhra Pradesh,0.82,0.2207,Normal,1614.69,Palm Leaf
Pottery & Terracotta,Clay Lamp,138.87,4,Raghurajpur,Odisha,0.435,-0.1541,Festival,1755.75,Clay
Ceramics,Ceramic Jewellery,189.19,2,Saharanpur,Uttar Pradesh,0.703,0.2846,Normal,1949.8,Ceramic
Paintings & Art,Handmade Wall Art,88.17,3,Madhubani,Bihar,0.704,-0.0599,Normal,2539.93,Canvas
Ceramics,Decorative Piece,174.18,1,Etikoppaka,Andhra Pradesh,0.735,0.1779,Festival,1747.8,Ceramic
Woodcraft,Figurine,693.51,13,Kashmir,Jammu and Kashmir,0.822,0.1619,Monsoon,6696.69,Wood
Handmade Bags & Accessories,Tote Bag,246.42,1,Bastar,Chhattisgarh,0.973,0.0455,Winter,2203.43,Cotton
Paintings & Art,Pattachitra,375.03,4,Assam,Assam,0.481,0.0786,Festival,3378.63,Cloth
Handloom & Textiles,Handwoven Bag,475.07,9,Bastar,Chhattisgarh,0.564,0.018,Winter,3065.99,Linen
